Diet,Emissions,Emissions_vs_Avg,Price,Calories,Protein,Carbohydrates,Fats
Optimal,1.9609500945626637,-0.58,4.813689593794118,2799.9999999999995,116.03431824460556,367.01742730441964,109.03507934598643
Tommy,3.5956282839274083,-0.24,4.946116568895458,2799.9999999999995,145.38889343340205,327.8383369237516,109.3043681556968
Rory,4.700219155367066,-0.0,5.283855690516352,2799.999999999999,174.90388245369377,278.21054438554165,119.56238110395421
Vegetarian,1.9609500945626637,-0.58,4.813689593794118,2799.9999999999995,116.03431824460556,367.01742730441964,109.03507934598643
Pescatarian,2.337981778193374,-0.5,5.775587402612733,2799.9999999999995,127.64113409311122,350.9555897779602,111.225607583512
No Gluten,4.762468769174671,0.01,13.125903535815233,2799.9999999999995,131.81272403887033,339.45570987393603,118.29221966679873
No Lactose,4.762468769174671,0.01,13.125903535815233,2799.9999999999995,131.81272403887033,339.45570987393603,118.29221966679873
No Nuts,2.5206138934710833,-0.47,6.063707972200939,2800.0000000000005,116.58504791405554,421.1366922163205,77.99999999999999
Keto,9.327697570995873,0.98,8.729830531488327,2686.762064126179,250.37168831836397,50.0,173.408297707301
Cheap,4.611513457532208,-0.02,2.7763735495484507,2799.9999999999995,129.50840668746346,275.0,142.99292132022097
O'Neal,3.988024990279723,-0.16,9.027168983855862,8608.74530998458,294.0,1470.0000000000002,194.0
