Lambda,Total_Price,Total_Emissions
0.0,4.773197573453416,1.8392956124468214
0.1,4.079496767822382,1.8776049782797268
0.2,3.8764175786051593,1.9087612334207298
0.3,3.8170491910155153,1.9224392522701514
0.4,3.8170491910155153,1.9224392522701514
0.5,3.8170491910155153,1.9224392522701514
0.6,3.8170491910155153,1.9224392522701514
0.7,3.8170491910155153,1.9224392522701514
0.8,3.738708110310579,1.9786743960936013
0.9,3.738708110310579,1.9786743960936013
1.0,3.6406568373715236,2.067841884572213
1.1,3.6406568373715236,2.067841884572213
1.2,3.6406568373715236,2.067841884572213
1.3,3.632299396888861,2.0780429636255295
1.4,3.332865594127079,2.492132865433792
1.5,3.332865594127079,2.492132865433792
1.6,3.332865594127079,2.492132865433792
1.7,3.332865594127079,2.492132865433792
1.8,3.332865594127079,2.492132865433792
1.9,3.124792488601835,2.8683652378257083
2.0,3.124792488601835,2.8683652378257087
2.1,2.7919457387956728,3.55411952900969
2.2,2.693128244229316,3.7669407398644226
2.3,2.6931282442293156,3.7669407398644226
2.4,2.6931282442293156,3.7669407398644226
2.5,2.6931282442293156,3.7669407398644226
2.6,2.6931282442293156,3.7669407398644226
2.7,2.6931282442293156,3.7669407398644226
2.8,2.6931282442293156,3.7669407398644226
2.9,2.6931282442293156,3.7669407398644226
3.0,2.682721380089631,3.7975062793124748
3.1,2.682721380089631,3.7975062793124748
3.2,2.682721380089631,3.7975062793124748
3.3,2.682721380089631,3.7975062793124748
3.4,2.682721380089631,3.7975062793124748
3.5,2.682721380089631,3.7975062793124748
3.6,2.682721380089631,3.7975062793124748
3.7,2.682721380089631,3.7975062793124748
3.8,2.682721380089631,3.7975062793124748
3.9,2.682721380089631,3.7975062793124748
4.0,2.682721380089631,3.7975062793124748
4.1,2.682721380089631,3.7975062793124748
4.2,2.682721380089631,3.7975062793124748
4.3,2.682721380089631,3.7975062793124748
4.4,2.682721380089631,3.7975062793124748
4.5,2.682721380089631,3.7975062793124748
4.6,2.682721380089631,3.7975062793124748
4.7,2.682721380089631,3.7975062793124748
4.8,2.494708652775192,4.693039639955735
4.9,2.478471701484559,4.772560787356244
5.0,2.4784717014845588,4.772560787356243
